transcript_id,SRR1839791,SRR1839792,SRR1839793,SRR1839793,SRR1839794,SRR1839795,SRR1839796,SRR1839797,SRR1839798,SRR1839799,SRR1839800,SRR1839801,SRR1839802,SRR1839803,SRR1839804
NR_027055,0,0,0,0,3,6,8,4,0,4,5,2,3,18,0
NR_047521,0,0,0,0,126,0,456,0,0,232,45,279,0,31,142
NR_047523,0,0,0,0,145,53,0,0,0,69,0,0,311,0,0
NR_047524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_024321,65,25,23,23,102,23,79,36,33,24,26,32,51,31,44
NR_047519,621,228,131,131,537,273,56,176,330,7,324,24,63,211,409
NR_047526,122,0,23,23,52,54,70,37,22,50,7,20,8,20,23
NR_047525,2,0,0,0,1,4,0,0,2,0,26,0,0,139,0
NR_103536,12,0,0,0,44,6,3,9,10,7,11,8,12,19,17
NM_001160184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_032129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001369898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001369897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NM_001367552,62,85,31,31,128,51,64,31,95,28,23,46,41,11,23
NR_168405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001385641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_152486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001385640,5,13,0,0,0,0,10,0,0,0,0,0,0,0,0
NM_015658,3611,2405,1568,1568,4039,2505,2818,1392,2363,1936,2092,1801,1920,1362,2162
NM_021170,158,0,43,43,67,25,22,0,115,57,39,8,27,0,28
NM_001142467,69,371,33,33,56,7,32,20,152,40,8,6,26,12,3
NM_198317,878,557,285,285,826,346,338,225,317,275,312,276,346,188,300
NM_005101,1200,3517,3406,3406,2965,1251,1634,2899,23046,2147,1497,1504,1146,410,501
NR_168432,0,64,55,55,87,4,0,0,0,0,0,44,0,70,0
NR_148960,45,39,16,16,94,30,25,31,14,56,41,32,40,37,27
NR_168433,127,35,17,17,95,27,20,98,16,24,31,16,73,23,25
NM_001364727,0,194,0,0,0,0,0,151,0,0,0,0,0,0,129
NM_001305275,491,0,185,185,7,179,181,0,823,296,288,117,163,148,14
NM_198576,111,0,0,0,885,7,20,0,986,3,20,7,0,5,13
NR_038869,23,0,8,8,50,22,11,14,12,7,14,16,19,9,5
NM_001130045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_153254,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0
NM_001371649,28,29,11,11,24,0,0,0,5,11,6,0,0,0,0
NM_001363525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_017891,365,289,263,263,298,170,159,5,123,168,274,229,163,0,0
NM_001330306,409,351,277,277,381,294,323,234,289,294,80,115,154,207,343
NM_148901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004195,310,516,240,240,376,159,150,91,187,103,166,165,126,38,133
NM_148902,37,135,62,62,41,0,0,0,16,0,0,0,0,0,0
NM_001014980,57,135,53,53,50,25,52,0,19,6,36,15,5,0,18
NM_080605,1767,895,604,604,1397,650,652,426,566,518,536,547,622,290,653
NM_003327,387,666,431,431,733,277,243,138,285,197,224,205,242,76,137
NM_016176,8765,6393,4048,4048,9129,4560,5247,3969,3466,2938,3742,3489,3517,2295,3883
NM_016547,981,800,507,507,738,229,153,172,353,180,485,56,276,40,154
NM_058167,3234,3281,1789,1789,3204,1881,2512,1774,1350,1209,1723,1159,1602,931,1636
NM_194315,170,287,3,3,239,25,32,6,74,0,48,21,0,3,34
NM_194458,83,9,8,8,172,8,36,0,24,11,14,4,12,1,14
NM_194457,66,0,131,131,204,125,0,18,16,92,33,90,0,102,27
NM_001130413,281,470,206,206,143,168,147,119,219,264,161,93,141,143,157
NR_037668,60,0,40,40,386,0,90,0,14,0,0,61,0,0,0
NR_036051,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NR_036266,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NR_036267,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
NR_036268,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NR_026818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_026820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_026822,0,0,0,0,4,3,0,0,0,0,2,0,0,0,4
NM_001005484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_026823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NM_001005221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001005224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001005277,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
NR_028322,0,0,0,0,0,0,11778,0,0,3509,0,0,0,0,0
NR_125957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001005221_dup1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001005224_dup1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001005277_dup1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
NR_046018,103,416,230,230,295,200,349,244,142,55,149,193,120,119,239
NR_024540,2460,2059,2381,2381,2954,1824,2051,1478,1355,799,1682,1103,1221,1270,1352
NR_107063,18,14,11,11,22,11,12,9,8,7,12,14,14,7,8
NR_128720,18,14,11,11,22,11,12,9,8,7,12,13,14,7,8
NR_107062,18,14,11,11,22,11,12,9,8,7,12,11,13,7,8
NR_106918,18,14,10,10,21,11,12,9,8,7,12,10,12,7,8
NR_039983,46949,87392,42662,42662,58558,31678,52319,33701,20642,15384,36530,27330,20668,16009,16491
NR_148357,118,465,243,243,349,209,437,306,171,67,168,209,192,132,305
NR_107063_dup1,14,14,9,9,18,9,10,9,8,7,9,10,8,5,9
NR_128720_dup1,13,13,8,8,17,9,10,9,7,7,8,10,7,5,8
NR_107062_dup1,12,12,7,7,15,8,9,8,6,6,8,9,7,6,8
NR_106918_dup1,11,11,7,7,14,7,9,8,6,6,7,8,6,6,7
NR_028325,22245,39704,21925,21925,25830,16227,9733,22261,10688,4815,19588,12734,10011,7633,6818
NR_162149,1124,2238,1569,1569,1162,2407,2858,2409,2141,2874,1709,2107,1453,2178,1242
NR_168328,16480,23555,13958,13958,19106,13297,17179,19130,8781,6018,15884,9661,8721,7175,6657
NM_001282584,0,0,0,0,211,0,0,0,3,0,0,0,0,0,0
NM_032348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001282582,267,0,153,153,0,0,135,53,107,171,136,50,79,62,85
NM_001282585,57,0,0,0,144,8,0,0,3,24,33,0,48,0,0
NM_001282583,17,159,0,0,0,83,0,0,0,8,3,0,0,10,0
NM_152228,126,179,86,86,182,61,151,28,85,81,86,95,64,20,45
NM_001330311,1331,369,404,404,797,419,585,10,481,255,508,245,382,287,185
NM_004421,1028,956,411,411,1692,527,506,734,429,474,491,358,565,327,656
NR_106866,2,0,2,2,1,3,0,0,0,1,1,0,0,2,0
NM_001256460,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0
NM_001256462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001256463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_030649,5140,5960,4032,4032,5442,2301,2678,1656,2265,1771,1953,1491,1845,1153,1792
NR_106784,2,0,3,3,2,1,1,0,2,0,0,0,0,0,0
NR_145806,26,10,7,7,33,3,18,6,13,4,8,11,15,10,11
NR_144369,176,0,175,175,188,154,0,0,0,0,0,159,0,0,0
NM_001346116,13,1,5,5,32,57,2,0,157,2,15,11,2,2,7
NM_153339,348,924,264,264,358,130,314,273,91,207,278,0,328,125,223
NM_001256456,9,11,6,6,25,7,23,7,9,0,32,3,6,15,14
NM_017871,5601,6613,4188,4188,5878,3575,4256,2570,3151,2641,3341,2761,2795,1627,2730
NR_106785,13,10,14,14,25,6,12,0,4,6,8,2,1,2,3
NM_001029885,2090,3603,1925,1925,2586,1258,1513,1166,1014,932,1308,942,995,586,805
NM_001127230,0,56,0,0,0,0,0,0,42,0,0,12,0,0,0
NM_017900,2371,4984,2727,2727,2622,1935,1709,1633,1428,1318,1442,869,1175,729,983
NM_001127229,449,1430,1138,1138,629,92,442,362,261,175,215,281,232,55,149
NM_001114748,22,31,28,28,54,13,0,20,6,0,28,0,22,0,4
NM_014188,5226,6369,4183,4183,5758,4500,4959,4189,3323,2734,3406,2879,2600,2479,3295
NM_001320155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001350500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001243535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001243536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001375659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001375660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
